都道府県,指揮支援隊,大阪府大隊(陸上),大阪府隊(航空小隊)
北海道,該当なし,該当なし,該当なし
青森県,該当なし,該当なし,該当なし
岩手県,該当なし,該当なし,該当なし
宮城県,該当なし,該当なし,該当なし
秋田県,該当なし,該当なし,該当なし
山形県,該当なし,該当なし,該当なし
福島県,該当なし,該当なし,該当なし
茨城県,準備,該当なし,準備
栃木県,準備,該当なし,準備
群馬県,準備,該当なし,準備
埼玉県,準備,該当なし,準備
千葉県,準備,該当なし,準備
東京都,準備,該当なし,準備
神奈川県,準備,該当なし,準備
新潟県,該当なし,該当なし,該当なし
富山県,準備(京都市が対応不可の場合部隊長代行),準備,準備
石川県,準備(京都市が対応不可の場合部隊長代行),準備,準備
福井県,準備(京都市が対応不可の場合部隊長代行),準備,準備
山梨県,準備,該当なし,準備
長野県,準備,該当なし,準備
岐阜県,準備,準備,準備
静岡県,準備,準備,準備
愛知県,準備,準備,準備
三重県,準備,準備,準備
滋賀県,準備(京都市が対応不可の場合部隊長代行),準備,準備
京都府,準備(京都市が対応不可の場合部隊長代行),準備,準備
大阪府,準備(部隊長),出動,出動
兵庫県,準備(部隊長),準備,準備
奈良県,準備(京都市が対応不可の場合部隊長代行),準備,準備
和歌山県,準備(部隊長),準備,準備
鳥取県,準備,準備,準備
島根県,準備,準備,準備
岡山県,準備,準備,準備
広島県,準備,準備,準備
山口県,準備,該当なし,準備
徳島県,準備,準備,準備
香川県,準備,準備,準備
愛媛県,準備,準備,準備
高知県,準備,準備,準備
福岡県,準備,該当なし,準備
佐賀県,準備,該当なし,準備
長崎県,準備,該当なし,準備
熊本県,準備,該当なし,準備
大分県,準備,該当なし,準備
宮崎県,準備,該当なし,準備
鹿児島県,準備,該当なし,準備
沖縄県,準備,該当なし,準備
