都道府県,指揮支援隊,大阪府大隊(陸上),大阪府隊(航空小隊)
北海道,該当なし,該当なし,該当なし
青森県,該当なし,該当なし,該当なし
岩手県,該当なし,該当なし,該当なし
宮城県,該当なし,該当なし,該当なし
秋田県,該当なし,該当なし,該当なし
山形県,該当なし,該当なし,該当なし
福島県,該当なし,該当なし,該当なし
茨城県,該当なし,該当なし,該当なし
栃木県,該当なし,該当なし,該当なし
群馬県,該当なし,該当なし,該当なし
埼玉県,該当なし,該当なし,該当なし
千葉県,該当なし,該当なし,該当なし
東京都,該当なし,該当なし,該当なし
神奈川県,該当なし,該当なし,該当なし
新潟県,該当なし,該当なし,該当なし
富山県,準備(京都市が対応不可の場合部隊長代行),該当なし,該当なし
石川県,準備(京都市が対応不可の場合部隊長代行),該当なし,該当なし
福井県,準備(京都市が対応不可の場合部隊長代行),該当なし,準備
山梨県,該当なし,該当なし,該当なし
長野県,該当なし,該当なし,該当なし
岐阜県,該当なし,該当なし,該当なし
静岡県,該当なし,該当なし,該当なし
愛知県,該当なし,該当なし,該当なし
三重県,該当なし,該当なし,準備
滋賀県,準備(京都市が対応不可の場合部隊長代行),該当なし,準備
京都府,準備(京都市が対応不可の場合部隊長代行),準備(統合機動部隊)、該当なし(その他府大隊),準備
大阪府,準備(部隊長),出動,出動
兵庫県,準備(部隊長),準備(統合機動部隊)、該当なし(その他府大隊),準備
奈良県,準備(京都市が対応不可の場合部隊長代行),準備(統合機動部隊)、該当なし(その他府大隊),準備
和歌山県,準備(部隊長),準備(統合機動部隊)、該当なし(その他府大隊),準備
鳥取県,該当なし,該当なし,準備
島根県,該当なし,該当なし,該当なし
岡山県,該当なし,該当なし,該当なし
広島県,該当なし,該当なし,該当なし
山口県,該当なし,該当なし,該当なし
徳島県,該当なし,該当なし,準備
香川県,該当なし,該当なし,準備
愛媛県,該当なし,該当なし,該当なし
高知県,該当なし,該当なし,該当なし
福岡県,該当なし,該当なし,該当なし
佐賀県,該当なし,該当なし,該当なし
長崎県,該当なし,該当なし,該当なし
熊本県,該当なし,該当なし,該当なし
大分県,該当なし,該当なし,該当なし
宮崎県,該当なし,該当なし,該当なし
鹿児島県,該当なし,該当なし,該当なし
沖縄県,該当なし,該当なし,該当なし
