都道府県,指揮支援隊,大阪府大隊(陸上),大阪府隊(航空小隊)
北海道,該当なし,該当なし,該当なし
青森県,該当なし,該当なし,該当なし
岩手県,該当なし,該当なし,該当なし
宮城県,該当なし,該当なし,該当なし
秋田県,該当なし,該当なし,該当なし
山形県,該当なし,該当なし,該当なし
福島県,該当なし,該当なし,該当なし
茨城県,出動,該当なし,出動(出動準備航空小隊)
栃木県,出動,該当なし,出動(出動準備航空小隊)
群馬県,出動,該当なし,出動(出動準備航空小隊)
埼玉県,出動,該当なし,出動(出動準備航空小隊)
千葉県,出動,該当なし,出動(出動準備航空小隊)
東京都,出動,該当なし,出動(出動準備航空小隊)
神奈川県,出動,該当なし,出動(出動準備航空小隊)
新潟県,該当なし,該当なし,該当なし
富山県,出動(京都市が対応不可の場合部隊長代行),準備(出動準備都道府県),出動(出動準備航空小隊)
石川県,出動(京都市が対応不可の場合部隊長代行),準備(出動準備都道府県),出動(出動準備航空小隊)
福井県,出動(京都市が対応不可の場合部隊長代行),準備(出動準備都道府県),出動(第一次出動航空小隊)
山梨県,出動,該当なし,出動(出動準備航空小隊)
長野県,出動,該当なし,出動(出動準備航空小隊)
岐阜県,出動,準備(出動準備都道府県),出動(出動準備航空小隊)
静岡県,出動,準備(出動準備都道府県),出動(出動準備航空小隊)
愛知県,出動,準備(出動準備都道府県),出動(出動準備航空小隊)
三重県,出動,準備(出動準備都道府県),出動(第一次出動航空小隊)
滋賀県,出動(京都市が対応不可の場合部隊長代行),準備(出動準備都道府県),出動(第一次出動航空小隊)
京都府,出動(京都市が対応不可の場合部隊長代行),出動(第一次出動都道府県),出動(第一次出動航空小隊)
大阪府,出動(部隊長),出動,出動
兵庫県,出動(部隊長),出動(第一次出動都道府県),出動(第一次出動航空小隊)
奈良県,出動(京都市が対応不可の場合部隊長代行),出動(第一次出動都道府県),出動(第一次出動航空小隊)
和歌山県,出動(部隊長),出動(第一次出動都道府県),出動(第一次出動航空小隊)
鳥取県,出動,準備(出動準備都道府県),出動(第一次出動航空小隊)
島根県,出動,準備(出動準備都道府県),出動(出動準備航空小隊)
岡山県,出動,準備(出動準備都道府県),出動(出動準備航空小隊)
広島県,出動,準備(出動準備都道府県),出動(出動準備航空小隊)
山口県,出動,準備(出動準備都道府県),出動(出動準備航空小隊)
徳島県,出動,準備(出動準備都道府県),出動(第一次出動航空小隊)
香川県,出動,準備(出動準備都道府県),出動(第一次出動航空小隊)
愛媛県,出動,準備(出動準備都道府県),出動(出動準備航空小隊)
高知県,出動,準備(出動準備都道府県),出動(出動準備航空小隊)
福岡県,出動,該当なし,出動(出動準備航空小隊)
佐賀県,出動,該当なし,出動(出動準備航空小隊)
長崎県,出動,該当なし,出動(出動準備航空小隊)
熊本県,出動,該当なし,出動(出動準備航空小隊)
大分県,出動,該当なし,出動(出動準備航空小隊)
宮崎県,出動,該当なし,出動(出動準備航空小隊)
鹿児島県,出動,該当なし,出動(出動準備航空小隊)
沖縄県,出動,該当なし,出動(出動準備航空小隊)
